"","vaccine","state_name","vaccine_coverage_estimate"
"1","PCV","North Carolina",88.8
"2","PCV","United States",85.2
"3","PCV","New Jersey",81.5
"4","PCV","Kansas",87.9
"5","PCV","Texas",89.4
"6","PCV","Utah",83.2
"7","PCV","Alabama",78.9
"8","PCV","Oklahoma",84.4
"9","PCV","Georgia",77.7
"10","PCV","West Virginia",75.7
"11","PCV","Colorado",79.4
"12","PCV","Ohio",83.3
"13","PCV","South Dakota",82.2
"14","PCV","Kentucky",87
"15","PCV","Virginia",83.1
"16","PCV","Alaska",78.6
"17","PCV","South Carolina",82
"18","PCV","Louisiana",85
"19","PCV","Missouri",82
"20","PCV","Delaware",80.2
"21","PCV","Tennessee",89
"22","PCV","Connecticut",96
"23","PCV","Washington",93.1
"24","PCV","Minnesota",80.8
"25","PCV","Wisconsin",97.8
"26","PCV","Michigan",87.2
"27","PCV","Puerto Rico",70.6
"28","PCV","District of Columbia",83.9
"29","PCV","Pennsylvania",84.1
"30","PCV","Illinois",79.3
"31","PCV","Wyoming",81.4
"32","PCV","New York",85.7
"33","PCV","Nevada",73.4
"34","PCV","Vermont",88.7
"35","PCV","Maine",85.3
"36","PCV","New Mexico",94.1
"37","PCV","Massachusetts",96.8
"38","PCV","Nebraska",87.8
"39","PCV","Montana",73.4
"40","PCV","Hawaii",86.2
"41","PCV","Iowa",86.7
"42","PCV","Rhode Island",90.5
"43","PCV","Florida",79.9
"44","PCV","Arkansas",73.5
"45","PCV","California",80.7
"46","PCV","Indiana",85.8
"47","PCV","Idaho",82.1
"48","PCV","Oregon",79.9
"49","PCV","North Dakota",78.7
"50","PCV","Maryland",88.1
"51","PCV","Mississippi",77.4
"52","PCV","Arizona",86.3
"53","PCV","New Hampshire",86.2
