"","Vaccine.Exemption","Dose","Geography.Type","Geography","School.Year","Estimate....","Population.Size","Percent.Surveyed","Footnotes","Number.of.Exemptions","Survey.Type"
"1","Hepatitis B","","States","Oklahoma","2015-16","96.4",54335,96.1,"‡",NA,"Census"
"2","Hepatitis B","","States","Oklahoma","2014-15","92.5",56967,95.9,"‡",NA,"Census"
"3","Hepatitis B","","States","Oklahoma","2013-14","97.7",57377,71.3,"",NA,"Voluntary response"
"4","Hepatitis B","","States","Oklahoma","2012-13","92.7",56943,95.5,"",NA,"Census"
"5","Hepatitis B","","States","Oklahoma","2016-17",NA,52184,0,"‡.¶",NA,"Census"
"6","Varicella","2 Doses (unknown disease history)","States","Oklahoma","2015-16","NReq",54335,96.1,"‡",NA,"Census"
"7","Varicella","2 Doses (unknown disease history)","States","Oklahoma","2019-20","NReq",55348,85.6,"§",NA,"Voluntary response"
"8","Varicella","2 Doses (unknown disease history)","States","Oklahoma","2020-21","NReq",52656,90,"‡.§",NA,"Census (public). voluntary response (private)"
"9","Hepatitis B","","States","Oklahoma","2009-10","99.5",51128,88.9,"",NA,"Voluntary response"
"10","Varicella","2 Doses (unknown disease history)","States","Oklahoma","2021-22","NReq",54042,84.3,"‡",NA,"Vol. response"
"11","Hepatitis B","","States","Oklahoma","2010-11",NA,NA,NA,"",NA,NA
"12","Hepatitis B","","States","Oklahoma","2011-12","97.7",52987,90.9,"¶",NA,"Census"
"13","Varicella","2 Doses (unknown disease history)","States","Oklahoma","2011-12","NReq",52987,90.9,"¶",NA,"Census"
"14","Varicella","2 Doses (unknown disease history)","States","Oklahoma","2010-11",NA,NA,NA,"",NA,NA
"15","Varicella","2 Doses (unknown disease history)","States","Oklahoma","2009-10","NReq",51128,88.9,"",NA,"Voluntary response"
"16","Varicella","1 Dose (unknown disease history)","States","Oklahoma","2021-22","95.5",54042,84.3,"‡",NA,"Vol. response"
"17","Varicella","2 Doses (unknown disease history)","States","Oklahoma","2014-15","NReq",56967,95.9,"‡",NA,"Census"
"18","Varicella","2 Doses (unknown disease history)","States","Oklahoma","2013-14","NReq",57377,71.3,"",NA,"Voluntary response"
"19","Varicella","2 Doses (unknown disease history)","States","Oklahoma","2012-13","NReq",56943,95.5,"",NA,"Census"
