"","vaccine","state_name","vaccine_coverage_estimate"
"1","DTP, DTaP, or DT","Oregon","90.5"
"2","DTP, DTaP, or DT","District of Columbia","92.0"
"3","DTP, DTaP, or DT","Kentucky","91.0"
"4","DTP, DTaP, or DT","New Mexico","94.8"
"5","DTP, DTaP, or DT","Pennsylvania","93.8"
"6","DTP, DTaP, or DT","North Carolina","93.5"
"7","DTP, DTaP, or DT","New York","96.8"
"8","DTP, DTaP, or DT","Utah","88.5"
"9","DTP, DTaP, or DT","Minnesota","87.4"
"10","DTP, DTaP, or DT","West Virginia","98.4"
"11","DTP, DTaP, or DT","Alaska","83.8"
"12","DTP, DTaP, or DT","Missouri","90.5"
"13","DTP, DTaP, or DT","Nevada","91.1"
"14","DTP, DTaP, or DT","Wyoming","92.2"
"15","DTP, DTaP, or DT","Idaho","79.5"
"16","DTP, DTaP, or DT","Vermont","92.7"
"17","DTP, DTaP, or DT","Michigan","92.1"
"18","DTP, DTaP, or DT","Maryland","96.8"
"19","DTP, DTaP, or DT","Louisiana","90.5"
"20","DTP, DTaP, or DT","Hawaii","89.4"
"21","DTP, DTaP, or DT","Tennessee","94.6"
"22","DTP, DTaP, or DT","Florida","88.1"
"23","DTP, DTaP, or DT","Indiana","81.8"
"24","DTP, DTaP, or DT","Kansas","90.1"
"25","DTP, DTaP, or DT","Washington","90.2"
"26","DTP, DTaP, or DT","North Dakota","90.5"
"27","DTP, DTaP, or DT","Illinois","91.2"
"28","DTP, DTaP, or DT","Colorado","87.9"
"29","DTP, DTaP, or DT","South Carolina","92.3"
"30","DTP, DTaP, or DT","California","95.4"
"31","DTP, DTaP, or DT","Delaware","93.8"
"32","DTP, DTaP, or DT","Texas","94.0"
"33","DTP, DTaP, or DT","Oklahoma","89.0"
"34","DTP, DTaP, or DT","Arizona","89.4"
"35","DTP, DTaP, or DT","Wisconsin","85.7"
"36","DTP, DTaP, or DT","Rhode Island","96.9"
"37","DTP, DTaP, or DT","Maine","96.9"
"38","DTP, DTaP, or DT","Connecticut","97.6"
"39","DTP, DTaP, or DT","Virginia","96.2"
"40","DTP, DTaP, or DT","Ohio","89.3"
"41","DTP, DTaP, or DT","Georgia","88.4"
"42","DTP, DTaP, or DT","Iowa","89.1"
"43","DTP, DTaP, or DT","South Dakota","90.6"
"44","DTP, DTaP, or DT","Nebraska","95.2"
"45","DTP, DTaP, or DT","New Hampshire","89.2"
"46","DTP, DTaP, or DT","Alabama","93.8"
"47","DTP, DTaP, or DT","Arkansas","91.4"
"48","DTP, DTaP, or DT","Mississippi","97.5"
"49","DTP, DTaP, or DT","New Jersey","93.2"
"50","DTP, DTaP, or DT","United States","92.3"
"51","DTP, DTaP, or DT","Massachusetts","96.0"
