"","disease","state_name","percent_decline","accrual_years","accrual_label","baseline_coverage","cases","additional_cases","cases_per_100k","additional_cases_per_100k","hospitalizations","additional_hospitalizations","hospitalizations_per_100k","additional_hospitalizations_per_100k","deaths","additional_deaths","deaths_per_100k","additional_deaths_per_100k","workdays_lost","additional_workdays_lost","workdays_lost_per_100k","additional_workdays_lost_per_100k","productivity_cost","additional_productivity_cost","productivity_cost_per_100k","additional_productivity_cost_per_100k","hospitalization_cost","additional_hospitalization_cost","hospitalization_cost_per_100k","additional_hospitalization_cost_per_100k","total_cost","additional_total_cost","total_cost_per_100k","additional_total_cost_per_100k"
"1","Rotavirus","Alabama",0,1,"1 Year",0.627,9210.70791262477,0,3128.45654721866,0,131.713123150534,0,44.7369286252269,0,0.0681592385534233,0,0.0231505784494181,0,46053.5395631238,0,15642.2827360933,0,9210707.91262477,0,3128456.54721866,0,1151172.69633567,0,391000.756184483,0,10361880.6089604,0,3519457.30340315,0
"2","Rotavirus","Alabama",0,5,"5 Years",0.627,9210.70791262477,0,3128.45654721866,0,131.713123150534,0,44.7369286252269,0,0.0681592385534233,0,0.0231505784494181,0,46053.5395631238,0,15642.2827360933,0,9210707.91262477,0,3128456.54721866,0,1151172.69633567,0,391000.756184483,0,10361880.6089604,0,3519457.30340315,0
"3","Rotavirus","Alabama",1,1,"1 Year",0.627,9222.77390627105,12.0659936462816,3132.55481384263,4.09826662396589,131.885666859676,0.17254370914182,44.7955338379496,0.0586052127227096,0.0682485269064058,8.92883529824834e-05,0.0231809056224354,3.03271730173473e-05,46113.8695313552,60.3299682314027,15662.7740692131,20.4913331198276,9222773.90627105,12065.9936462808,3132554.81384263,4098.26662396561,1152680.72835357,1508.03201789944,391512.965743679,512.209559196461,10375454.6346246,13574.0256641805,3524067.77958631,4610.47618316215
"4","Rotavirus","Alabama",1,5,"5 Years",0.627,9270.0237105994,59.3157979746356,3148.60341304999,20.146865831333,132.561339061571,0.8482159110373,45.0250288066149,0.288100181388065,0.0685981754584356,0.000438936905012302,0.02329966525657,0.000149086807151864,46350.118552997,296.578989873175,15743.01706525,100.734329156664,9270023.7105994,59315.7979746349,3148603.41304999,20146.8658313327,1158586.10339813,7413.40706246602,393518.751769815,2517.9955853317,10428609.8139975,66729.2050371002,3542122.16481981,22664.8614166642
"5","Rotavirus","Alabama",2,1,"1 Year",0.627,9234.73718792015,24.029275295381,3136.6181938951,8.16164667644226,132.056741787258,0.34361863672396,44.8536401727,0.116711547473128,0.0683370551906091,0.000177816637185815,0.0232109746348238,6.03961854056713e-05,46173.6859396007,120.146376476907,15683.0909694755,40.8082333822119,9234737.18792015,24029.2752953805,3136618.1938951,8161.64667644209,1154175.92322064,3003.22688496741,392020.815109398,1020.05892491514,10388913.1111408,27032.5021803472,3528639.0090045,9181.70560135699
"6","Rotavirus","Alabama",2,5,"5 Years",0.627,9326.89800765087,116.190095026102,3167.92101259468,39.4644653760151,133.374641509407,1.66151835887325,45.3012704801039,0.564341854877012,0.0690190452566165,0.000859806703193161,0.0234426154932006,0.000292037043782513,46634.4900382544,580.950475130514,15839.6050629734,197.322326880076,9326898.00765087,116190.095026102,3167921.01259468,39464.4653760149,1165694.36679222,14521.6704565519,395933.103996108,4932.34781162499,10492592.3744431,130711.765482653,3563854.11659079,44396.8131876396
"7","Rotavirus","Alabama",3,1,"1 Year",0.627,9246.59906352033,35.8911508955607,3140.64713094703,12.1905837283719,132.226366608341,0.51324345780651,44.9112539725426,0.174325347315716,0.0684248330700504,0.000265594516627152,0.0232407887690081,9.02103195899529e-05,46232.9953176016,179.4557544778,15703.2356547352,60.9529186418583,9246599.06352033,35891.1508955602,3140647.13094703,12190.5837283717,1155658.4441569,4485.74782122858,392524.359720022,1523.60353553924,10402257.5076772,40376.8987167887,3533171.49066706,13714.187263911
"8","Rotavirus","Alabama",3,5,"5 Years",0.627,9381.47850612375,170.770593498981,3186.45951358914,58.0029663704816,134.15514263757,2.44201948703542,45.5663710443248,0.829442419097886,0.0694229409453157,0.00126370239189245,0.0235798004005597,0.000429221951141563,46907.3925306187,853.852967494902,15932.2975679457,290.014831852407,9381478.50612375,170770.593498981,3186459.51358914,58002.9663704815,1172515.94665236,21343.2503166895,398250.082927398,7249.32674291549,10553994.4527761,192113.843815669,3584709.59651654,65252.2931133968
"9","Rotavirus","Alabama",4,1,"1 Year",0.627,9258.36081697368,47.6529043489081,3144.64206108128,16.1855138626194,132.394559682724,0.681436532189394,44.9683814734623,0.23145284823546,0.0685118700456052,0.000352631492181912,0.0232703512520015,0.000119772802583381,46291.8040848684,238.264521744539,15723.2103054064,80.9275693130963,9258360.81697368,47652.904348908,3144642.06108128,16185.5138626193,1157128.451627,5955.75529133528,393023.654078061,2022.89789357791,10415489.2686007,53608.6596402433,3537665.71515934,18208.4117561973
"10","Rotavirus","Alabama",4,5,"5 Years",0.627,9433.90122989167,223.1933172669,3204.26511712696,75.8085699082932,134.904787587451,3.19166443691665,45.8209911749155,1.08406254968859,0.0698108691011983,0.00165163054777505,0.0237115618667395,0.000560983417321367,47169.5061494583,1115.96658633449,16021.3255856348,379.042849541464,9433901.22989167,223193.317266898,3204265.11712695,75808.5699082927,1179067.84351432,27895.1471786515,400475.462868761,9474.70668427826,10612969.073406,251088.46444555,3604740.57999572,85283.2765925711
"11","Rotavirus","Alabama",5,1,"1 Year",0.627,9270.0237105994,59.3157979746356,3148.60341304999,20.146865831333,132.561339061571,0.8482159110373,45.0250288066149,0.288100181388065,0.0685981754584356,0.000438936905012302,0.02329966525657,0.000149086807151864,46350.118552997,296.578989873175,15743.01706525,100.734329156664,9270023.7105994,59315.7979746349,3148603.41304999,20146.8658313327,1158586.10339813,7413.40706246602,393518.751769815,2517.9955853317,10428609.8139975,66729.2050371002,3542122.16481981,22664.8614166642
"12","Rotavirus","Alabama",5,5,"5 Years",0.627,9484.29165621982,273.583743595049,3221.38044210077,92.9238948821056,135.625370683943,3.91224753340919,46.065740322041,1.32881169681411,0.0701837582560266,0.00202451970260335,0.0238382152715457,0.000687636822127579,47421.4582810991,1367.91871797524,16106.9022105038,464.619474410527,9484291.65621982,273583.743595047,3221380.44210077,92923.894882105,1185365.73977767,34193.0434419962,402614.570414638,11613.8142301553,10669657.3959975,307776.787037043,3623995.01251541,104537.70911226
"13","Rotavirus","Alabama",6,1,"1 Year",0.627,9281.58898558544,70.8810729606739,3152.53160842799,24.0750612093303,132.726722493872,1.01359934333763,45.0812020005203,0.344273375293421,0.0686837584933323,0.000524519939908985,0.0233287339023671,0.000178155452949043,46407.9449279272,354.405364803366,15762.65804214,120.37530604665,9281588.98558544,70881.0729606729,3152531.60842799,24075.0612093299,1160031.55459644,8858.85826077079,394009.705484547,3008.94930006446,10441620.5401819,79739.9312214423,3546541.31391254,27084.0105093939
"14","Rotavirus","Alabama",6,5,"5 Years",0.627,9532.76571849222,322.057805867456,3237.84486578296,109.3883185643,136.318549774439,4.60542662390463,46.3011815806964,1.5642529554695,0.0705424663168425,0.00238322776341918,0.0239600520067939,0.000809473557375823,47663.8285924611,1610.28902933728,16189.2243289148,546.941592821503,9532765.71849222,322057.805867456,3237844.86578296,109388.3185643,1191424.1250286,40251.4286929264,404672.327015286,13671.5708308034,10724189.8435208,362309.234560382,3642517.19279825,123059.889395103
